id,name,sex,position,Derzeitige NGO,Partei
Dieckmann,Baerbel Dieckmann,w,Praesident,WHH,3
vonBraun,Joachim vonBraun,m,Vizepraesident,WHH,0
Diallo,Amadou Diallo,m,Praesidium,WHH,0
Geisler,Norbert Geisler,m,Praesidium,WHH,0
LaniusHeck,Rita LaniusHeck,w,Praesidium,WHH,0
Schetter,ConradJustus Schetter,m,Praesidium,WHH,0
SchulzIsenbeck,Tobias SchulzIsenbeck,m,Praesidium,WHH,0
Wahnbaeck,Till Wahnbaeck,m,Vorstand,WHH,0
Mogge,Mathias Mogge,m,Vorstand,WHH,0
Monning,Christian Monning,m,Vorstand,WHH,0
Adrion,Benny Adrion,m,Kuratorium,WHH,0
Bellut,Thomas Bellut,m,Kuratorium,WHH,0
Bettermann,Erik Bettermann,m,Kuratorium,WHH,0
Conrad,Markus Conrad,m,Kuratorium,WHH,0
Cukrowski,Gesine Cukrowski,w,Kuratorium,WHH,0
Dahrendorf,Christiane Dahrendorf,w,Kuratorium,WHH,0
Detmers,Ulrike Detmers,w,Kuratorium,WHH,0
Griefahn,Monika Griefahn,w,Kuratorium,WHH,0
Heck,DieterThomas Heck,m,Kuratorium,WHH,0
Kuenzer,Nia Kuenzer,w,Kuratorium,WHH,0
Leipold,Gerd Leipold,m,Kuratorium,WHH,0
Oetker,CarlFerdinand Oetker,m,Kuratorium,WHH,0
Pfitzer,Marc Pfitzer,m,Kuratorium,WHH,0
PreussH,HansJoachim Preuss,m,Kuratorium,WHH,0
Raue,Stefan Raue,m,Kuratorium,WHH,0
Reim,Dagmar Reim,w,Kuratorium,WHH,0
Riesenbeck,Hajo Riesenbeck,m,Kuratorium,WHH,0
Schindhelm,Michael Schindhelm,m,Kuratorium,WHH,0
Schwan,Gesine Schwan,w,Kuratorium,WHH,0
vonGriesheim,Anna vonGriesheim,w,Kuratorium,WHH,0
vonHoltzbrinck,Dieter vonHoltzbrinck,m,Kuratorium,WHH,0
Zschocke,Christian Zschocke,m,Kuratorium,WHH,0
Muentefering,Franz Muentefering,m,Praesidium,ASB,3
Gleicke,Iris Gleicke,w,Praesidium,ASB,3
HammerschmidtR,Rudolf Hammerschmidt,m,Praesidium,ASB,0
MuellerW,Wilhelm Mueller,m,Praesidium,ASB,0
Fleckenstein,Knut Fleckenstein,m,Bundesvorstand,ASB,3
Borchmann,Uwe Borchmann,m,Bundesvorstand,ASB,0
Loew,HansWerner Loew,m,Bundesvorstand,ASB,3
Altdoerfer,KarlEugen Altdoerfer,m,Bundesvorstand,ASB,0
Foelich,Ludwig Froelich,m,Bundesvorstand,ASB,0
Niestaedt,Krimhild Niestaedt,w,Bundesvorstand,ASB,3
SchmidtT,Thomas Schmidt,m,Bundesvorstand,ASB,0
Stricker,Michael Stricker,m,Bundesvorstand,ASB,0
Theiss,Christine Theiss,w,Bundesvorstand,ASB,0
Scholz,Georg Scholz,m,Bundesvorstand,ASB,3
Schein,Anna Schein,w,Bundesvorstand,ASB,0
BauchU,Ulrich Bauch,m,Bundesgeschaeftsfuehrer,ASB,0
Kreutz,Marcus Kreutz,m,Bundesgeschaeftsfuehrer,ASB,0
Mertenskoetter,Stefan Mertenskoetter,m,Vorstand,arche,0
Trentzsch,Cornelia Trentzsch,w,Vorstand,arche,0
Loeper,Jan Loeper,m,Vorstand,arche,0
Marth,Reinhard Marth,m,Vorstand,GTO,0
Langenbach,Kilian Langenbach,m,Vorstand,GTO,0
Wagner,Barbara Wagner,w,Vorstand,GTO,0
Saygin,Kurt Saygin,m,Vorstand,IOG,0
Appel,Gordon Appel,m,Vorstand,IOG,0
Straub,Tilmann Straub,m,Vorstand,IOG,0
Faber,Marko Faber,m,Vorstand,IOG,0
Luessem,Joerg Luessem,m,Bundesvorstand,JU,0
Maehnert,Thomas Maehnert,m,Bundesvorstand,JU,0
vonPuttkamer,Hubertus vonPuttkamer,m,Bundesvorstand,JU,0
Weise,FrankJuergen Weise,m,Praesidium,JU,0
Fenge,Annette Fenge,w,Praesidium,JU,0
vonGneisenau,AlexanderGrafNeidhardt vonGneisenau,m,Praesidium,JU,0
Dyckerhoff,Christian Dyckerhoff,m,Praesidium,JU,0
Koelling,Ralf Koelling,m,Praesidium,JU,0
Little,Simon Little,m,Praesidium,JU,0
Seligmann,Oliver Seligmann,m,Praesidium,JU,0
WagnerPinggera,Andrea WagnerPinggera,w,Praesidium,JU,0
Bieger,FrankHenning Bieger,m,Praesidium,JU,0
Fritz,Peter Fritz,m,Praesidium,JU,0
PreussK,Klaus Preuss,m,Praesidium,JU,0
Tuppeck,Peter Tuppeck,m,Praesidium,JU,1
Kraemer,Stephan Kraemer,m,Vorstand,WRD,0
Hamm,Michaela Hamm,w,Vorstand,WRD,0
Benckert,Andrew Benckert,m,Vorstand,WRD,0
vonLobkowicz,Erich Prinz vonLobkowicz,m,Praesident,MI,0
