id,name,sex,position,Derzeitige NGO,Andere NGO,Organisation,Politik,Medien/Rundfunk/Fernsehen
Adlhoch,Judith Adlhoch,w,Kuratorium,WV,,,,
Baer,Dorothee Baer,w,Kuratorium,WV,,Lebenshilfe Hassberge,CSU,
Beer,Nicola Beer,w,Kuratorium,WV,,Vereinigung der Alumni der Studienstiftung des Deutschen Volkes; Johanniter; Heraeus Bildungsstiftung; Deutsche Stiftung Frauengesundheit; VDMA Impuls-Stiftung,FDP,
Fraedrich,Jana Fraedrich,w,Kuratorium,WV,,Child Friendly Cities; Kinderinteressen eV,,
Fricke,Otto Fricke,m,Kuratorium,WV,,,FDP,
Hajduk,Anja Hajduk,w,Kuratorium,WV,,,Buendnis 90 Die Gruenen,
Kohl,Anja Kohl,w,Kuratorium,WV,,,,
Koschyk,Hartmut Koschyk,m,Kuratorium,WV,,"Alexander von HumboldtKulturforum; Stiftung Ein KoreaVertrauen, Versoehnen, Verbinden; Stiftung Verbundenheit mit den Deutschen im Ausland; Deutsche Gesellschaft eV; Bundesstiftung zur Aufarbeitung der SEDDiktatur; Stiftung Humboldt Forum; Stiftung für DeutschPolnische Zusammenarbeit; Verein für Deutsche Kulturbeziehungen im Ausland eV; ifa; Gesellschaft für Kultur und Begegnung der Freunde der Region Assisi eV",CSU,
Nooke,Guenter Nooke,m,Kuratorium,WV,Amref,Denkmal für die ermordeten Juden Europas; Stiftung für Oekologie und Demokratie; Deutsches Institut für Menschenrechte,CDU,
Nouripour,Omid Nouripour,m,Kuratorium,WV,,JEF; Einwandfrei eV; Europa Union eV; Freundeskreis Freiburg Isfahan eV; DAFG; AtlantikBruecke eV; Deutsche Atlantische Gesellschaft eV,Buendnis 90 Die Gruenen,
Ploeger,Sven Ploeger,m,Kuratorium,WV,,Kinder und Jugendhospiz Bethel; Brot fuer die Welt; Fondation Prince Albert II de Monaco; Stiftung Solarenergie,,
Rieck,Alfred Rieck,m,Kuratorium,WV,,,,
Ruethrich,Susanne Ruethrich,w,Kuratorium,WV,,,SPD,
Schloendorff,Volker Schloendorff,m,Kuratorium,WV,,,,
Polte,Winfried Polte,m,Praesident,care,,FriedrichEbertStiftung; RautenstrauchJoestMuseum; AufAchseTreberhilfe Koeln,,
Lehners,JeanPaul Lehners,m,Vizepraesident,care,,Consultative Commission of Human Rights; Justice and Peace Commission; National UNESCO Commission Luxembourg; European Commission against Racism and Intolerance; Council of Europe,,
Sehrbrock,Ingrid Sehrbrock,w,Vizepraesident,care,,KonradAdenauerStiftung; HansBoecklerStiftung; Stiftung ChristlichSoziale Politik und Bildung eV; Verein Xertifix eV,CDU,
Scharrenbroich,Heribert Scharrenbroich,m,Kuratorium,care,,,CDU,
MatthaeusMaier,Ingrid MatthaeusMaier,w,Kuratorium,care,,,,
Schlachtenberger,Georg Schlachtenberger,m,Verwaltungsrat,care,,,,
Schadeck,Robert Schadeck,m,Verwaltungsrat,care,,Europaeischer WirtschaftsundSozialausschuss,,
Jostes,Hildegard Jostes,w,Verwaltungsrat,care,,,,
Klos,Stefani Klos,w,Verwaltungsrat,care,,,,
VanDeSand,Klemens vandeSand,w,Verwaltungsrat,care,,,,
Roth,Karin Roth,w,Verwaltungsrat,care,,,SPD,
Addicks,Karl Addicks,m,Kuratorium,care,,,FDP,
Bergsdorf,Wolfgang Bergsdorf,m,Kuratorium,care,,Buergerstiftung Rheinviertel,,
Boehmer,Wolfgang Boehmer,m,Kuratorium,care,,,CDU,
Braun,Bruno Braun,m,Kuratorium,care,,DeutschChinesisches Dialogforum; TUEV Rheinland Group,,
Eigen,Peter Eigen,m,Kuratorium,care,Transparency International Deutschland,HumboldtViadrina School of Governance Berlin; Aerzte für die Dritte Welt German Doctors; UN Global Compact; Africa Progress Panel APP; Extractive Industries Transparency Initiative EITI; Berlin Civil Society Center Forum für den Wissens und Erfahrungsaustausch von Nichtregierungsorganisationen; entwicklungspolitisches ArnoldBergsträsserInstitut Freiburg,,
Eisenblaetter,Bernd Eisenblaetter,m,Kuratorium,care,,,,
