id,name,type
MinistryEvNorway,MinistryoftheEnvironmentNorway,4
MinistryEvSW,MinistryoftheEnvironment,4
DGIS,MinistryofForeignAffairsMinBuzaEuropeanCooperationNetherlands,4
MinistryForeign,MinistryofForeignAffairsMinBuzaDevelopmentCooperationNetherlands,4
MinistryofHousing,MinistryofHousingSpatialPlanningandtheEnvironmentVROMNetherlands,4
MoellerStiftungGroenau,ElisabethundKarlHeinzMoellerStiftungGrossGroenau,3
MUCKINGENIEURE,MUCKINGENIEURE,2
MusikgruppeShaymani,MusikgruppeShaymani,2
NachbarinNot,NachbarninNoteV,3
NAK,NAKkaritaivdasHilfswerkderNeuapostolischenKirche,3
Nalco,NalcoDeutschlandGmbH,2
NatracareUK,NatracareUnitedKingdom,4
NextKraftwerke,NextKraftwerkeGmbH,2
Nickelodeon,Nickelodeon,2
Nivea,NiveaBeiersdorfAG,2
NordrheinWestfaelischeStiftung,NordrheinWestfaelischeStiftungzurFoerderungderLeprahilfeDuesseldorf,3
NORMA,NORMAGroupSE,2
NOVARTIS,NOVARTISStiftungSchweiz,3
NSUE,NorddeutscheStiftungfuerUmweltundEntwicklung,3
OCHA,OCHAOfficefortheCoordinationofHumanitarianAffairs,4
Oertli,OertliInstrumenteAG,2
Olympus,OlympusEuropaSEundCoKG,2
Orienthelfer,OrienthelfereV,3
OsthessischeStiftung,OsthessischeStiftungfuerAusgestosseneHamburg,3
Osthus,Osthus,2
OttoBockStiftung,OttoBockStiftung,2
OuiGruppe,OuiGruppeGmbHundCoKG,2
OVB,OstasiatischeVereinBremen,3
PaepstlichesMissionswerk,PaepstlichesMissionswerkAachen,3
PapierMettler,PapierMettlerKG,2
PaulundSusiHoffmannStiftung,PaulundSusiHoffmannStiftungGrettstadt,3
Payback,Payback,2
PD,PlanDeutschland,1
PEJA,PEJACommissioneuropeenneFranceErasmusjeunesseFr,4
PERI,PERIGmbH,2
PFEIFER,PFEIFERHoldingGmbHunsCoKG,2
PI,PalladiumInternaional,2
Piepenbrock,Piepenbrock,2
PippaundJean,PippaundJean,2
PlanInternational,PlanInternational,3
PlanInternationalKinder,KinderhilfswerkPlanInternationaleV,2
PrittundHenkel,PrittundHenkel,2
PRM,BureauofPopulationRefugeesandMigration,3
PROMECON,PROMECONGmbH,2
ProvinceOverjissel,ProvinceOverjisseltheNetherlands,4
PSMH,PlatzschaffenmitHerz,3
RBS,RBSTheRoyalBankofScotland,2
Rebelle,Rebelle,2
RegineSixt,RegineSixtKinderhilfeStiftung,3
RegionIledeFrance,RegionIledeFrance,3
RegionRhoneAlpes,RegionRhoneAlpes,3
ReinerMeutschStiftung,ReinerMeutschStiftungFLYundHELP,3
Reishunger,ReishungerGmbH,2
RichardEmondtsStiftung,RichardEmondtsStiftungHeidelberg,3
RocheDiabetes,RocheDiabetesCareDeutschland,2
RolfRonschke,RolfRonschkeGmbH,2
RosemarieundBernhardArnoldsStiftung,RosemarieundBernhardArnoldsStiftung,3
RotaryClubBadOrb,RotaryClubBadOrb,2
RotaryClubBiedenkopf,RotaryClubBiedenkopf,2
RotaryClubGrafschaftMoers,RotaryClubGrafschaftMoers,2
RoyalNetherlands,RoyalNetherlandsEmbassyinRomania,4
RTL,StiftungRTL,2
RudolfundMarianneScheinerStiftung,RudolfundMarianneScheinerStiftungWuerzburg,3
RundHUmwelt,RundHUmweltGmbH,2
RuthPfauStiftung,RuthPfauStiftungWuerzburg,3
RWSN,RWSN,3
Santander,SantanderConsumerBankAG,2
SchenkerDeutschland,SchenkerDeutschlandAG,2
schlaich,schlaichbergermannpartner,2
Schleicher,SchleicherBlechbearbeitungGmbH,2
Schwarzkopf,Schwarzkopf,2
SchweizerBotschaftB,SchweizerBotschatinBosnien,4
se,schweizerischeEidgenossenschaft,4
seneos,seneos,2
SerengetiParkStiftung,SerengetiParkStiftung,3
SIAAP,SIAAPServicepublicdel’assainissementfrancilien,3
SIBSB,StiftungInternationaleBegegnungderSparkasseinBonn,3
SIDA,SwedishInternaionalDevelopmentCooperaionAgency,4
Slido,Slido,2
SOFiSTiK,SOFiSTiKAGFiniteElementeundCADSoftware,2
SOLIDAR,SOLIDAR,3
SopraSteria,SopraSteria,2
SparkasseKrefeld,SparkasseKrefeld,2
SSA,SustainableSanitationAllianc,3
Staedtler,StaedtlerGmbHundCoKG,2
StiftungderEheleute,StiftungderEheleuteSabassKiel,3
StiftungTuberkulosehilfeWuerzburg,StiftungTuberkulosehilfeWuerzburg,3
StiftungVeoila,StiftungVeolia,3
StJohn,StJohnAmbulance,3
STRATEC,STRATECBiomedicalAG,2
SUENW,StiftungUmweltundEntwicklungNordrheinWestfalen,3
Sunshine,SunshineEnergieberatung,2
SWG,SashaWaltzundGuests,2
TAO,TAOTechnicalWear,2
Telekom,DeutscheTelekomAG,2
Tereska,TereskaStiftung,3
Theobroma,Theobroma,2
TheologischeHochschule,TheologischeHochschuleFriedensa,4
THW,BundesanstaltTechnischesHilfswerk,4
ToG,TieraerzteohneGrenzen,1
TransPack,TransPackStauereiundLadungssicherungGmbh,2
Triodos,TriodosFoundationNetherlands,3
TueVRheinland,TueVRheinlandAG,2
TUI,TUIAG,2
UBA,GermanFederalEnvironmentAgencyUBA,3
ukaid,ukaid,4
UNDP,UnitedNationsDevelopmentProgramme,4
UNEP,UnitedNationsEnvironmentProgramme,4
UNFPA,WeltbevoelkerungsfondsderVereintenNationen,4
unhabitat,unhabitat,4
UNHCR,UNHCRdasFluechtlingshilfswerkderVereintenNationen,4
UNICEF,UNICEF,4
UNO,UNO,4
UNOCHA,UNOCHA,4
UNWater,UNWater,4
UPS,UPSFoundation,2
USAID,USAIDUnitedStatesAgencyforInternationalDevelopment,4
VDW,VerbandDeutscherWirtschaftsingenieureeV,2
VENRO,VENRO,3
VET,VETKonzept,2
VetConcept,VetConceptGmbHCoKG,2
ViktorSchroederStiftung,ViktorSchroederStiftungHerrenberg,3
Vincotech,Vincotech,2
Voelkel,Voelkel,2
VolksbankKrefeld,VolksbankKrefeld,2
VolksbankSchermbeck,VolksbankSchermbeck,2
WaterAidUK,WaterAidUK,3
WaterChannel,WaterChannelNetherlands,2
WaterManagementAustria,FederalMinistryforAgricultureForestryEnvironmentandWaterManagementAustria,4
